episode,total_reward,duration_sec,steps,avg_reward_per_step,avg_reward_per_sec
285,667.5149,289.38,42,15.8932,2.3067
286,740.5971,308.36,47,15.7574,2.4017
287,855.6834,332.74,57,15.0120,2.5716
288,817.3872,321.19,52,15.7190,2.5449
289,471.7276,273.51,41,11.5056,1.7247
290,743.7045,296.28,47,15.8235,2.5101
291,675.2703,294.24,43,15.7040,2.2950
292,755.0130,301.26,49,15.4084,2.5062
293,754.1578,287.57,44,17.1400,2.6225
294,722.2451,307.99,48,15.0468,2.3451
295,710.2810,279.00,42,16.9115,2.5458
296,760.9993,307.98,48,15.8542,2.4709
297,569.8016,280.33,43,13.2512,2.0326
298,490.1192,275.00,40,12.2530,1.7822
299,734.2283,271.55,41,17.9080,2.7038
300,682.0096,274.62,44,15.5002,2.4835
301,752.9074,305.61,48,15.6856,2.4637
302,776.3164,319.45,50,15.5263,2.4302
303,1281.6286,403.08,77,16.6445,3.1796
304,1135.8287,370.19,68,16.7034,3.0683
305,643.8706,278.74,41,15.7042,2.3100
306,1119.5994,373.94,68,16.4647,2.9940
307,588.9262,275.17,42,14.0221,2.1402
308,1116.9039,362.69,67,16.6702,3.0795
309,793.5120,292.58,48,16.5315,2.7121
310,940.9227,337.63,57,16.5074,2.7868
311,624.3580,282.49,42,14.8657,2.2102
312,637.4725,287.95,43,14.8249,2.2138
313,741.8799,297.50,47,15.7847,2.4937
314,640.5552,261.20,40,16.0139,2.4524
315,797.4329,310.13,51,15.6359,2.5713
316,805.7410,302.77,49,16.4437,2.6612
317,738.8886,283.80,47,15.7210,2.6035
318,849.5508,320.39,52,16.3375,2.6516
319,726.5775,295.58,46,15.7952,2.4581
320,957.1348,325.69,58,16.5023,2.9388
321,895.6382,319.62,54,16.5859,2.8022
322,776.4266,298.84,46,16.8788,2.5981
323,718.2061,291.18,45,15.9601,2.4665
324,747.8144,294.64,44,16.9958,2.5380
325,689.3300,285.41,42,16.4126,2.4152
326,805.8886,307.17,48,16.7893,2.6236
327,698.9828,273.11,42,16.6424,2.5593
328,752.4517,300.47,47,16.0096,2.5042
329,886.4384,315.23,51,17.3811,2.8120
330,453.9132,297.80,47,9.6577,1.5242
331,654.1371,285.34,42,15.5747,2.2925
332,691.5877,276.97,42,16.4664,2.4970
333,662.3774,284.53,42,15.7709,2.3279
334,822.2588,297.26,47,17.4949,2.7661
335,721.2643,306.01,45,16.0281,2.3570
336,753.5773,286.76,44,17.1268,2.6279
337,748.8520,288.65,45,16.6412,2.5943
338,630.5152,276.28,39,16.1671,2.2821
339,563.0655,249.71,34,16.5608,2.2548
340,644.0393,294.93,47,13.7030,2.1837
341,507.5142,278.52,42,12.0837,1.8222
342,816.6310,294.01,50,16.3326,2.7775
343,772.3101,312.89,50,15.4462,2.4683
344,882.6547,332.92,56,15.7617,2.6513
345,835.5088,327.15,55,15.1911,2.5539
346,756.3402,298.39,46,16.4422,2.5347
347,703.8614,265.28,38,18.5227,2.6533
348,774.9295,314.34,50,15.4986,2.4652
349,802.2304,293.81,46,17.4398,2.7305
350,817.9718,324.75,52,15.7302,2.5187
351,834.9180,335.33,54,15.4614,2.4899
352,867.7380,327.71,53,16.3724,2.6479
353,839.0083,318.79,52,16.1348,2.6319
354,776.4163,293.50,47,16.5195,2.6453
355,718.8348,284.24,46,15.6268,2.5290
356,875.0729,340.67,59,14.8317,2.5687
357,745.2527,304.63,48,15.5261,2.4464
358,573.3544,269.26,38,15.0883,2.1294
359,700.9537,291.00,45,15.5767,2.4088
360,632.9266,270.46,38,16.6560,2.3402
361,-18.5894,280.47,44,-0.4225,-0.0663
362,489.2952,241.54,31,15.7837,2.0258
363,692.5936,289.08,43,16.1068,2.3959
364,910.8142,336.52,58,15.7037,2.7066
365,661.1359,271.60,38,17.3983,2.4342
366,520.8865,266.95,34,15.3202,1.9513
367,702.1319,280.98,43,16.3286,2.4988
368,919.4781,341.61,59,15.5844,2.6916
369,638.0239,274.28,38,16.7901,2.3261
370,698.8153,285.96,44,15.8822,2.4438
371,820.8757,330.32,55,14.9250,2.4851
372,826.7021,323.14,55,15.0309,2.5583
373,688.2177,275.77,39,17.6466,2.4956
374,755.5226,317.49,50,15.1105,2.3797
375,717.7122,294.18,48,14.9523,2.4397
376,822.7785,314.00,52,15.8227,2.6203
377,649.3236,277.36,40,16.2331,2.3411
378,691.3323,283.76,43,16.0775,2.4363
379,550.4230,303.65,50,11.0085,1.8127
380,557.5774,284.63,39,14.2969,1.9590
381,726.3522,288.96,46,15.7903,2.5136
382,797.5643,292.33,46,17.3384,2.7283
383,739.9745,303.97,51,14.5093,2.4344
384,713.9647,300.56,46,15.5210,2.3755
385,36.2495,21.21,4,9.0624,1.7090
386,765.5313,301.95,48,15.9486,2.5353
387,687.7871,302.44,45,15.2842,2.2742
388,641.4316,267.73,37,17.3360,2.3958
389,787.5532,272.25,43,18.3152,2.8928
390,626.9268,293.54,43,14.5797,2.1357
391,762.5257,261.23,38,20.0665,2.9190
392,739.3249,265.21,37,19.9818,2.7877
393,715.7670,287.12,43,16.6457,2.4929
394,722.2095,294.87,46,15.7002,2.4492
395,817.9059,315.07,51,16.0374,2.5960
396,725.8198,306.83,48,15.1212,2.3656
397,675.6678,277.84,40,16.8917,2.4318
398,545.3203,278.40,36,15.1478,1.9588
399,673.7435,286.92,44,15.3124,2.3482
400,468.5922,263.29,37,12.6647,1.7798
401,597.4855,284.48,38,15.7233,2.1003
402,441.3716,247.16,28,15.7633,1.7857
403,730.4471,299.87,47,15.5414,2.4359
404,630.9320,288.35,40,15.7733,2.1881
405,551.4528,284.80,36,15.3181,1.9363
406,431.4631,241.24,29,14.8780,1.7886
407,652.0462,264.62,38,17.1591,2.4641
408,772.7131,311.06,48,16.0982,2.4841
409,521.3199,260.94,34,15.3329,1.9979
410,394.7437,197.16,26,15.1825,2.0022
411,221.1477,86.61,13,17.0114,2.5533
412,574.3298,275.83,36,15.9536,2.0822
413,621.8221,275.35,41,15.1664,2.2583
414,727.7282,278.36,42,17.3269,2.6143
415,815.1984,311.29,50,16.3040,2.6187
416,588.7627,298.99,39,15.0965,1.9692
417,759.7691,265.18,40,18.9942,2.8651
418,562.7407,279.47,38,14.8090,2.0136
419,467.0032,247.15,34,13.7354,1.8895
420,593.2046,266.27,36,16.4779,2.2279
421,623.6669,287.70,43,14.5039,2.1678
422,762.8776,300.01,47,16.2314,2.5428
423,724.9707,310.23,47,15.4249,2.3369
424,679.3128,257.01,38,17.8767,2.6432
425,710.2534,306.97,49,14.4950,2.3137
426,832.3664,320.02,52,16.0070,2.6010
427,612.6194,260.53,38,16.1216,2.3515
428,533.7977,258.20,33,16.1757,2.0674
429,694.5368,251.70,37,18.7713,2.7594
430,642.3305,265.13,38,16.9034,2.4227
431,742.6564,276.92,43,17.2711,2.6819
432,695.3716,263.18,39,17.8300,2.6422
433,612.6177,282.48,40,15.3154,2.1687
434,761.1297,324.25,51,14.9241,2.3473
435,605.8389,234.43,36,16.8289,2.5843
436,134.9947,50.02,10,13.4995,2.6988
437,669.4236,289.19,43,15.5680,2.3149
438,692.4820,283.05,44,15.7382,2.4465
439,845.9387,330.14,53,15.9611,2.5624
440,-3.0125,268.34,37,-0.0814,-0.0112
441,806.7520,317.14,50,16.1350,2.5438
442,561.6336,262.28,35,16.0467,2.1413
443,669.7140,303.31,45,14.8825,2.2080
444,606.9122,256.27,36,16.8587,2.3682
445,612.9950,254.79,35,17.5141,2.4059
446,802.4485,274.33,42,19.1059,2.9252
447,908.4826,342.59,57,15.9383,2.6518
448,762.1845,320.25,50,15.2437,2.3800
449,504.2728,235.94,31,16.2669,2.1373
450,738.5177,293.91,45,16.4115,2.5128
451,627.6070,277.30,41,15.3075,2.2633
452,647.6709,262.73,38,17.0440,2.4651
453,711.5999,265.19,41,17.3561,2.6834
454,754.8635,271.80,42,17.9729,2.7773
455,721.4525,318.17,49,14.7235,2.2675
456,699.6759,268.73,40,17.4919,2.6037
457,612.9843,268.26,39,15.7175,2.2851
458,548.6067,240.46,34,16.1355,2.2815
459,609.6331,288.08,43,14.1775,2.1162
460,326.0689,136.84,20,16.3034,2.3829
461,449.3100,169.67,27,16.6411,2.6482
462,841.1975,322.91,52,16.1769,2.6051
463,782.8222,323.70,51,15.3495,2.4184
464,631.0552,268.66,40,15.7764,2.3489
465,764.9151,310.20,49,15.6105,2.4659
466,749.3720,314.52,49,15.2933,2.3826
467,881.5908,334.24,56,15.7427,2.6376
468,767.6448,312.58,50,15.3529,2.4559
469,798.3459,294.06,45,17.7410,2.7149
470,704.8726,269.06,42,16.7827,2.6197
471,402.9666,263.88,38,10.6044,1.5271
472,484.0652,232.05,31,15.6150,2.0861
473,831.8597,330.42,53,15.6955,2.5175
474,851.0214,306.73,50,17.0204,2.7745
475,735.1278,266.57,40,18.3782,2.7578
476,686.7550,293.83,47,14.6118,2.3373
477,545.1194,259.26,39,13.9774,2.1026
478,758.8108,309.83,50,15.1762,2.4491
479,819.5340,320.88,53,15.4629,2.5540
480,428.3651,257.18,38,11.2728,1.6656
481,786.8333,255.82,39,20.1752,3.0757
482,702.5268,290.89,45,15.6117,2.4151
483,206.9095,112.86,16,12.9318,1.8333
484,406.0823,146.22,22,18.4583,2.7772
485,620.5633,253.01,38,16.3306,2.4528
486,926.8729,359.62,62,14.9496,2.5774
487,723.2422,297.89,45,16.0720,2.4279
488,600.2034,278.65,43,13.9582,2.1539
489,666.1202,252.69,37,18.0032,2.6361
490,798.9120,342.46,53,15.0738,2.3328
491,524.0774,246.99,35,14.9736,2.1219
492,770.5013,256.12,38,20.2763,3.0083
493,809.5008,262.08,42,19.2738,3.0887
494,417.3910,233.34,28,14.9068,1.7887
495,778.9832,328.20,52,14.9804,2.3735
496,746.5411,319.97,49,15.2355,2.3331
497,850.4866,323.92,54,15.7498,2.6256
498,714.4598,263.15,38,18.8016,2.7150
499,617.3079,244.80,34,18.1561,2.5217
500,413.6965,230.06,28,14.7749,1.7982
501,647.6097,263.02,41,15.7954,2.4622
502,989.0878,376.35,66,14.9862,2.6281
503,489.7407,229.71,31,15.7981,2.1320
504,720.9797,248.35,36,20.0272,2.9031
505,881.9588,312.95,53,16.6407,2.8182
506,802.1829,293.79,47,17.0677,2.7305
507,469.5844,188.01,28,16.7709,2.4977
508,174.3029,67.11,10,17.4303,2.5971
509,333.5975,273.67,42,7.9428,1.2190
510,743.3692,282.28,45,16.5193,2.6334
511,764.6612,300.32,49,15.6053,2.5461
512,629.8160,241.64,33,19.0853,2.6064
513,815.7700,304.02,50,16.3154,2.6833
514,572.3413,243.26,34,16.8336,2.3528
515,632.5774,272.20,41,15.4287,2.3240
516,957.1116,285.79,48,19.9398,3.3490
517,930.4217,355.22,59,15.7699,2.6193
518,724.4965,296.28,46,15.7499,2.4453
519,786.1159,317.66,50,15.7223,2.4747
520,873.6271,310.85,52,16.8005,2.8104
521,468.1401,248.86,32,14.6294,1.8811
522,617.5736,269.79,37,16.6912,2.2891
523,537.2195,227.37,31,17.3297,2.3628
524,824.6127,304.82,49,16.8288,2.7052
525,952.7886,269.69,46,20.7128,3.5329
526,800.6889,294.67,47,17.0359,2.7172
527,779.1119,307.06,49,15.9002,2.5373
528,583.1065,238.95,33,17.6699,2.4403
529,741.3487,276.13,43,17.2407,2.6848
530,821.0450,290.41,49,16.7560,2.8272
531,415.3146,180.26,25,16.6126,2.3040
532,343.9940,125.80,21,16.3807,2.7344
533,576.6097,304.07,48,12.0127,1.8963
